function,peak_mb,integrated_mb_s,pct_of_total
tifffile:squeeze_axes,0.003,0.077,0.00
<frozen posixpath>:<module>,0.008,0.077,0.00
tifffile:open,0.027,0.063,0.00
ome_tiff_tiles:read_ome_tiff_tiles_tile,0.005,0.055,0.00
_helper:fftfreq,0.001,0.054,0.00
zarr:create_zarr_store,0.006,0.054,0.00
encoder:iterencode,0.001,0.053,0.00
synchronize:__repr__,0.001,0.051,0.00
spawn:get_executable,0.001,0.049,0.00
resource_tracker:cleanup_noop,0.001,0.049,0.00
resource_tracker:__init__,0.001,0.049,0.00
util:__init__,0.001,0.046,0.00
core:_create_multiscales,0.009,0.044,0.00
helper:_workers,0.003,0.043,0.00
weakref:__setitem__,0.002,0.041,0.00
tifffile:asarray,0.003,0.040,0.00
_phase_cross_correlation:_compute_error,0.001,0.038,0.00
registration:compute_pair_bounds,0.012,0.034,0.00
threading:_bootstrap_inner,0.001,0.031,0.00
functools:__get__,0.003,0.030,0.00
optimization:solve_global,0.001,0.030,0.00
core:_fuse_tiles,0.001,0.030,0.00
tifffile:_set_dimensions,0.003,0.029,0.00
registration:find_adjacent_pairs,0.008,0.028,0.00
std:__init__,0.003,0.027,0.00
synchronize:__getstate__,0.000,0.025,0.00
synchronize:__setstate__,0.000,0.025,0.00
synchronize:_make_methods,0.000,0.025,0.00
utils:inner,0.000,0.024,0.00
_stride_tricks_impl:as_strided,0.001,0.024,0.00
encoder:_iterencode_dict,0.001,0.024,0.00
_local:_parse_path,0.001,0.023,0.00
context:RLock,0.000,0.021,0.00
threading:invoke_excepthook,0.004,0.021,0.00
threading:wait,0.001,0.020,0.00
std:__new__,0.001,0.020,0.00
random:seed,0.000,0.018,0.00
weakref:__init__,0.000,0.018,0.00
std:get_lock,0.000,0.017,0.00
threading:RLock,0.005,0.017,0.00
synchronize:_count,0.000,0.017,0.00
synchronize:_state,0.000,0.017,0.00
synchronize:wait,0.000,0.017,0.00
synchronize:__exit__,0.000,0.017,0.00
synchronize:__enter__,0.000,0.017,0.00
utils:__init__,0.000,0.016,0.00
weakref:remove,0.000,0.016,0.00
__init__:find_spec,0.000,0.016,0.00
tifffile:_read_value,0.004,0.015,0.00
stages:stage,0.000,0.014,0.00
_basic_backend:_execute_nD,0.000,0.014,0.00
_structural_similarity:structural_similarity,0.001,0.014,0.00
_local:__new__,0.000,0.014,0.00
util:register_after_fork,0.000,0.014,0.00
contextlib:__init__,0.000,0.013,0.00
_methods:_amin,0.000,0.013,0.00
_methods:_amax,0.000,0.013,0.00
encoder:_iterencode_list,0.001,0.013,0.00
std:fp_write,0.000,0.013,0.00
encoder:_iterencode,0.000,0.013,0.00
util:_exit_function,0.000,0.013,0.00
resource_tracker:_stop_locked,0.000,0.012,0.00
_monitor:__init__,0.000,0.011,0.00
std:print_status,0.000,0.011,0.00
_local:_format_parsed_parts,0.000,0.011,0.00
util:spawnv_passfds,0.000,0.010,0.00
spawn:<module>,0.000,0.009,0.00
core:_create_fused_tensorstore,0.000,0.009,0.00
harness:wrapped,0.000,0.009,0.00
_local:__init__,0.000,0.009,0.00
util:_cleanup_tests,0.000,0.008,0.00
util:close_fds,0.000,0.008,0.00
util:_flush_std_streams,0.000,0.008,0.00
util:_close_stdin,0.000,0.008,0.00
util:close_all_fds_except,0.000,0.008,0.00
util:__reduce__,0.000,0.008,0.00
util:__exit__,0.000,0.008,0.00
util:__enter__,0.000,0.008,0.00
util:_at_fork_reinit,0.000,0.008,0.00
util:is_exiting,0.000,0.008,0.00
util:_run_finalizers,0.000,0.008,0.00
util:__repr__,0.000,0.008,0.00
util:still_active,0.000,0.008,0.00
util:cancel,0.000,0.008,0.00
util:__call__,0.000,0.008,0.00
util:_run_after_forkers,0.000,0.008,0.00
util:get_temp_dir,0.000,0.008,0.00
util:_get_base_temp_dir,0.000,0.008,0.00
util:_remove_temp_dir,0.000,0.008,0.00
util:is_abstract_socket_namespace,0.000,0.008,0.00
util:_platform_supports_abstract_sockets,0.000,0.008,0.00
util:log_to_stderr,0.000,0.008,0.00
util:get_logger,0.000,0.008,0.00
util:sub_warning,0.000,0.008,0.00
util:_warn,0.000,0.008,0.00
util:info,0.000,0.008,0.00
util:debug,0.000,0.008,0.00
util:sub_debug,0.000,0.008,0.00
synchronize:clear,0.000,0.008,0.00
synchronize:set,0.000,0.008,0.00
synchronize:is_set,0.000,0.008,0.00
synchronize:wait_for,0.000,0.008,0.00
synchronize:notify_all,0.000,0.008,0.00
synchronize:notify,0.000,0.008,0.00
synchronize:get_value,0.000,0.008,0.00
synchronize:_make_name,0.000,0.008,0.00
synchronize:_cleanup,0.000,0.008,0.00
synchronize:_after_fork,0.000,0.008,0.00
spawn:import_main_path,0.000,0.008,0.00
spawn:_fixup_main_from_path,0.000,0.008,0.00
spawn:_fixup_main_from_name,0.000,0.008,0.00
spawn:prepare,0.000,0.008,0.00
spawn:get_preparation_data,0.000,0.008,0.00
spawn:_check_not_importing_main,0.000,0.008,0.00
spawn:_main,0.000,0.008,0.00
spawn:spawn_main,0.000,0.008,0.00
spawn:get_command_line,0.000,0.008,0.00
spawn:freeze_support,0.000,0.008,0.00
spawn:is_forking,0.000,0.008,0.00
spawn:set_executable,0.000,0.008,0.00
resource_tracker:main,0.000,0.008,0.00
resource_tracker:_decode_message,0.000,0.008,0.00
resource_tracker:_send,0.000,0.008,0.00
resource_tracker:_write,0.000,0.008,0.00
resource_tracker:unregister,0.000,0.008,0.00
resource_tracker:register,0.000,0.008,0.00
resource_tracker:_check_alive,0.000,0.008,0.00
resource_tracker:_ensure_running_and_write,0.000,0.008,0.00
resource_tracker:_make_probe_message,0.000,0.008,0.00
resource_tracker:_launch,0.000,0.008,0.00
resource_tracker:_teardown_dead_process,0.000,0.008,0.00
resource_tracker:ensure_running,0.000,0.008,0.00
resource_tracker:getfd,0.000,0.008,0.00
resource_tracker:_stop,0.000,0.008,0.00
resource_tracker:__del__,0.000,0.008,0.00
resource_tracker:_reentrant_call_error,0.000,0.008,0.00
std:__str__,0.000,0.008,0.00
__init__:isEnabledFor,0.000,0.008,0.00
core:_compute_fused_image_space,0.000,0.008,0.00
encoder:floatstr,0.000,0.008,0.00
thread:submit,0.007,0.008,0.00
_base:__init__,0.006,0.007,0.00
tifffile:product,0.001,0.007,0.00
_psosx:memory_info,0.000,0.007,0.00
_psosx:wrapper,0.000,0.007,0.00
thread:_adjust_thread_count,0.007,0.007,0.00
_psosx:_get_pidtaskinfo,0.000,0.006,0.00
_ufunc_config:__exit__,0.000,0.006,0.00
core:_pad_to_chunk_multiple,0.000,0.006,0.00
contextlib:helper,0.000,0.006,0.00
core:refine_tile_positions_with_cross_correlation,0.000,0.006,0.00
threading:_set_ident,0.001,0.006,0.00
tracemalloc:_group_by,0.000,0.006,0.00
std:__call__,0.000,0.005,0.00
threading:_set_native_id,0.001,0.005,0.00
weakref:__new__,0.000,0.005,0.00
__init__:memory_info,0.000,0.004,0.00
utils:disable_on_exception,0.000,0.004,0.00
<frozen os>:<module>,0.000,0.004,0.00
std:__iter__,0.000,0.004,0.00
zarr:write_scale_group_metadata,0.001,0.004,0.00
_base:map,0.004,0.004,0.00
_psosx:virtual_memory,0.000,0.003,0.00
core:read_pair_patches,0.003,0.003,0.00
thread:_worker,0.000,0.003,0.00
ast:walk,0.000,0.003,0.00
shape_base:_arrays_for_stack_dispatcher,0.000,0.003,0.00
threading:_newname,0.000,0.003,0.00
threading:_is_owned,0.000,0.002,0.00
_abc:stem,0.000,0.002,0.00
tifffile:close,0.000,0.002,0.00
tracemalloc:__getitem__,0.000,0.002,0.00
__init__:dump,0.000,0.002,0.00
std:status_printer,0.000,0.002,0.00
arraycrop:crop,0.000,0.002,0.00
_linalg:lstsq,0.000,0.002,0.00
std:trange,0.000,0.002,0.00
thread:weakref_cb,0.002,0.002,0.00
tifffile:__getitem__,0.000,0.001,0.00
optimization:links_from_pairwise_metrics,0.005,0.001,0.00
std:update,0.000,0.001,0.00
_monitor:run,0.000,0.001,0.00
thread:__init__,0.001,0.001,0.00
_monitor:get_instances,0.000,0.001,0.00
_weakrefset:__init__,0.000,0.001,0.00
utils:compute_ssim,0.000,0.001,0.00
std:format_meter,0.000,0.001,0.00
core:load_pairwise_metrics,0.001,0.001,0.00
shape:view_as_blocks,0.001,0.000,0.00
std:__format__,0.000,0.000,0.00
_base:result_iterator,0.000,0.000,0.00
std:format_dict,0.000,0.000,0.00
optimization:two_round_optimization,0.000,0.000,0.00
_utils_impl:_median_nancheck,0.000,0.000,0.00
_base:result,0.000,0.000,0.00
_methods:_mean,19.074,0.000,0.00
histogram_matching:match_histograms,8.670,0.000,0.00
_function_base_impl:diff,0.002,0.000,0.00
helper:_fix_shape,0.001,0.000,0.00
fromnumeric:mean,0.001,0.000,0.00
_filters:uniform_filter,0.001,0.000,0.00
_filters:uniform_filter1d,0.001,0.000,0.00
_ni_support:_normalize_sequence,0.001,0.000,0.00
_ufunc_config:__enter__,0.001,0.000,0.00
block:block_reduce,0.001,0.000,0.00
histogram_matching:_match_cumulative_cdf,0.001,0.000,0.00
helper:_init_nd_shape_and_axes,0.000,0.000,0.00
_interpolation:shift,0.000,0.000,0.00
_arraysetops_impl:unique,0.000,0.000,0.00
_methods:_count_reduce_items,0.000,0.000,0.00
fromnumeric:nonzero,0.000,0.000,0.00
fromnumeric:_wrapreduction_any_all,0.000,0.000,0.00
helper:_asfarray,0.000,0.000,0.00
multiarray:dot,0.000,0.000,0.00
_arraysetops_impl:_unique_dispatcher,0.000,0.000,0.00
_backend:__ua_function__,0.000,0.000,0.00
utils:fixed_func,0.000,0.000,0.00
fromnumeric:cumsum,0.000,0.000,0.00
fromnumeric:_any_dispatcher,0.000,0.000,0.00
fromnumeric:sum,0.000,0.000,0.00
fromnumeric:_wrapreduction,0.000,0.000,0.00
utils:check_shape_equality,0.000,0.000,0.00
fromnumeric:argmax,0.000,0.000,0.00
_dtype:_name_get,0.000,0.000,0.00
core:save_pairwise_metrics,0.002,0.000,0.00
_function_base_impl:_ureduce,0.000,0.000,0.00
multiarray:copyto,0.000,0.000,0.00
multiarray:empty_like,0.000,0.000,0.00
_common:usage_percent,0.000,0.000,0.00
std:release,0.000,0.000,0.00
std:acquire,0.000,0.000,0.00
